Word,Sentiment
snapdragon,5.0
acupuncture,4.947368421052632
physique,4.916666666666667
shavery,4.916666666666667
kent,4.909090909090909
ariel,4.9
jealousy,4.9
shelly,4.857142857142857
lori,4.838709677419355
nougat,4.833333333333333
choir,4.8
reina,4.8
euphoric,4.7894736842105265
dexter,4.785714285714286
nationally,4.785714285714286
patel,4.785714285714286
infectious,4.777777777777778
boudoir,4.769230769230769
feline,4.75
unrivaled,4.75
effortless,4.7368421052631575
layman,4.7272727272727275
miraculous,4.7272727272727275
henna,4.7272727272727275
noel,4.7272727272727275
flores,4.7272727272727275
limu,4.7272727272727275
masterful,4.72
perfectionist,4.717391304347826
humbly,4.7
thorn,4.7
simulator,4.7
keepsake,4.7
waxer,4.7
hydration,4.6875
passionate,4.675257731958763
dor,4.666666666666667
wondrous,4.666666666666667
teasing,4.666666666666667
cherish,4.666666666666667
soulful,4.666666666666667
knockout,4.666666666666667
immaculately,4.642857142857143
dedication,4.641791044776119
emulsion,4.636363636363637
amaze,4.636363636363637
toxin,4.636363636363637
airbrush,4.636363636363637
punctual,4.62962962962963
sublime,4.626168224299065
perfecto,4.625
timeless,4.625
thoroughness,4.615384615384615
oversell,4.615384615384615
pioneer,4.611111111111111
transcendent,4.611111111111111
prefect,4.611111111111111
meticulous,4.605633802816901
mutt,4.6
obedience,4.6
marvelously,4.6
cyclist,4.6
transforming,4.6
cheered,4.6
milo,4.6
luxuriously,4.6
masterpiece,4.595505617977528
approachable,4.594202898550725
escalade,4.583333333333333
tanner,4.583333333333333
credible,4.583333333333333
charisma,4.583333333333333
flawless,4.582278481012659
seamless,4.58
veterinary,4.578947368421052
effortlessly,4.578947368421052
brent,4.571428571428571
metropolis,4.571428571428571
cruller,4.571428571428571
unparalleled,4.571428571428571
jess,4.571428571428571
kinky,4.571428571428571
colorist,4.565217391304348
communicator,4.5625
dedicate,4.5625
unforgettable,4.561643835616438
worship,4.5588235294117645
bumble,4.555555555555555
unmatched,4.555555555555555
fiddle,4.545454545454546
exquisite,4.545454545454546
fantastico,4.545454545454546
bees,4.545454545454546
oodles,4.545454545454546
cacao,4.545454545454546
catwalk,4.545454545454546
intelligentsia,4.545454545454546
piercer,4.545454545454546
wod,4.545454545454546
unbeatable,4.544642857142857
ecstasy,4.541666666666667
tammy,4.538461538461538
transform,4.535714285714286
encouragement,4.535714285714286
orgasmic,4.535211267605634
gem,4.535104364326376
seth,4.533333333333333
violin,4.533333333333333
bree,4.529411764705882
meditation,4.523809523809524
expertly,4.520325203252033
compassionate,4.518518518518518
cycling,4.513513513513513
invaluable,4.5
consummate,4.5
experimented,4.5
explorer,4.5
sinfully,4.5
hiro,4.5
magnum,4.5
yogi,4.5
cholla,4.5
beagle,4.5
stuffiness,4.5
fling,4.5
ministry,4.5
colors,4.5
mahogany,4.5
rejoice,4.5
exhilarating,4.5
earthiness,4.5
bakeshop,4.5
seductive,4.5
filo,4.5
luger,4.5
snowflake,4.5
supportive,4.492063492063492
jordan,4.491803278688525
